,company_name,stage,type,latitude,longitude
404,Sota Solutions Limited,Operational,Colocation,51.310975,0.728608
405,Sota Solutions Limited,Operational,Colocation,51.313976,0.725902
406,Pulsant Ltd,Operational,Colocation,53.502483,-1.31535
407,Stellium Datacenters,Operational,Colocation,55.017004,-1.503781
408,Stratus Technologies Ltd,Planned,Colocation,51.503527,0.153795
409,Stratus Technologies Ltd,Operational,Colocation,54.592133,-1.031945
410,SUB1 Data Centres,Operational,Colocation,51.759147,-0.000264
411,Focus Group,Operational,Colocation,50.725102,-3.467633
412,Tata Communications,Operational,Colocation,51.619896,-0.779066
413,Tata Communications,Operational,Colocation,51.227512,-2.963147
414,Tata Communications,Operational,Colocation,51.542328,0.002433
415,Teesworks,Planned,Colocation,54.619328,-1.131632
416,Equinix,Operational,Colocation,51.498244,-0.014084
417,Equinix,Operational,Colocation,51.530586,-0.257438
418,Equinix,Operational,Colocation,53.461042,-2.235576
419,Datum Datacentres Ltd,Operational,Colocation,53.379163,-2.258603
420,Telefónica S.A.,Operational,Colocation,52.345808,-0.189197
421,TELEHOUSE Europe,Operational,Colocation,51.511549,-0.002916
422,TELEHOUSE Europe,Operational,Colocation,51.507041,-0.00339
423,TELEHOUSE Europe,Operational,Colocation,51.511551,-0.002901
424,TELEHOUSE Europe,Operational,Colocation,51.522084,-0.083235
425,TELEHOUSE Europe,Operational,Colocation,51.511551,-0.002901
426,TELEHOUSE Europe,Operational,Colocation,51.511549,-0.002916
427,Telia Company,Operational,Colocation,51.49897,-0.014314
428,Pulsant Ltd,Operational,Colocation,51.457526,-0.939307
429,Cyberfort Group Ltd,Operational,Colocation,51.271221,1.29637
430,Cyberfort Group Ltd,Operational,Colocation,51.376998,-1.290199
431,CapitaLand Data Centre,Operational,Colocation,51.643272,-0.42811
432,THG Hosting,Operational,Colocation,51.516691,0.023359
433,Digital Space,Operational,Colocation,53.083293,-0.790884
434,iomart hosting,Operational,Colocation,53.464371,-2.245922
435,Docklands Data Centre Ltd,Operational,Colocation,51.494898,-0.018686
436,Six Degrees Group,Operational,Colocation,52.278994,-1.895359
437,Six Degrees Group,Operational,Colocation,52.27855,-1.89575
438,Galaxy Data Centers,Operational,Colocation,51.24792,-0.15732
439,Vantage Data Centers,Planned,Colocation,51.492053,-3.551877
440,Vantage Data Centers,Planned,Colocation,51.41435,-3.4413
441,Vantage Data Centers,Under Construction,Colocation,51.527658,-0.255488
442,Vantage Data Centers,Under Construction,Colocation,51.533048,-0.259881
443,VIRTUS Data Centres,Operational,Colocation,51.617313,-0.1085
444,VeloxServ Communications Ltd,Operational,Colocation,52.601418,-2.111407
445,VeloxServ Communications Ltd,Operational,Colocation,52.310721,-1.93693
446,Verizon Communications Inc.,Operational,Colocation,51.537603,-0.132175
447,Vinters Connect,Operational,Colocation,51.279898,0.549469
448,Virgin Media,Operational,Colocation,53.826449,-1.460208
449,Virgin Media,Operational,Colocation,51.524864,-0.637873
450,VIRTUS Data Centres,Operational,Colocation,51.651895,-0.055372
451,VIRTUS Data Centres,Operational,Colocation,51.520512,-0.621487
452,VIRTUS Data Centres,Operational,Colocation,51.519391,-0.626803
453,VIRTUS Data Centres,Planned,Colocation,51.679745,-0.834351
454,VIRTUS Data Centres,Planned,Colocation,51.678596,-0.833311
455,VIRTUS Data Centres,Planned,Colocation,51.680382,-0.832588
456,VIRTUS Data Centres,Planned,Colocation,51.679403,-0.831667
457,VIRTUS Data Centres,Operational,Colocation,51.523208,-0.622604
458,VIRTUS Data Centres,Operational,Colocation,51.523208,-0.622604
459,VIRTUS Data Centres,Operational,Colocation,51.509349,-0.454993
460,VIRTUS Data Centres,Operational,Colocation,51.510525,-0.453857
461,VIRTUS Data Centres,Operational,Colocation,51.510824,-0.456644
462,VIRTUS Data Centres,Operational,Colocation,51.509754,-0.457268
463,VIRTUS Data Centres,Operational,Colocation,51.519046,-0.61904
464,VIRTUS Data Centres,Operational,Campus,51.67939,-0.833019
465,Visa Inc.,Operational,Enterprise,51.519042,-0.180585
466,Vision247,Operational,Colocation,51.493191,-0.274378
467,Verne Global,Operational,Colocation,51.523087,-0.101736
468,nLighten,Operational,Colocation,51.760427,-0.003073
469,EXA Infrastructure,Operational,Colocation,51.795208,-0.060829
470,Green Colo Ltd,Operational,Colocation,50.846733,-1.167126
471,Digital Realty,Operational,Colocation,51.482395,-0.460672
472,Web Wiz,Operational,Colocation,50.744623,-1.950846
473,CapitaLand Data Centre,Operational,Colocation,51.807688,-0.188118
474,Greystoke,Operational,Campus,51.534739,-0.494701
475,Greystoke,Planned,Colocation,51.534621,-0.494194
476,Greystoke,Planned,Colocation,51.533152,-0.494633
477,Green Colo Ltd,Operational,Colocation,50.846747,-1.166554
478,Workspace Technology,Operational,Colocation,52.56144,-1.81043
479,WRN Broadcast,Operational,Colocation,51.481669,-0.125997
480,Yondr Group,Operational,Colocation,51.512496,-0.579722
481,Yondr Group,Operational,Colocation,51.512889,-0.578293
482,Yondr Group,Under Construction,Colocation,51.51295,-0.575891
483,Yondr Group,Operational,Campus,51.512115,-0.578624
